Title,Note,URL,Tags,Comment
,,,,
Thistle Street Bar,,https://www.google.com/maps/place/Thistle+Street+Bar/data=!4m2!3m1!1s0x4887c791365c9da3:0xbcdc97941a5d8383,,
Rose Street Brewery,,https://www.google.com/maps/place/Rose+Street+Brewery/data=!4m2!3m1!1s0x4887c790d3f5cb39:0xf782131abb491eca,,
The Black Cat,,https://www.google.com/maps/place/The+Black+Cat/data=!4m2!3m1!1s0x4887c797be093f4f:0xa93b8585b1998d51,,
Fierce Beer,,https://www.google.com/maps/place/Fierce+Beer/data=!4m2!3m1!1s0x4887c7bef39aa123:0xed064293c5845ebd,,
Thomson's Bar,,https://www.google.com/maps/place/Thomson's+Bar/data=!4m2!3m1!1s0x4887c7a39a0819ef:0xb2a6c13a35d69023,,
The Abbotsford Bar & Restaurant,,https://www.google.com/maps/place/The+Abbotsford+Bar+%26+Restaurant/data=!4m2!3m1!1s0x4887c791b38b4ced:0xba70b8b2136c057a,,
The Golf Tavern,#140,https://www.google.com/maps/place/The+Golf+Tavern/data=!4m2!3m1!1s0x4887c79fea63a4a1:0x836abb542431ad63,,
Hebrides West End,,https://www.google.com/maps/place/Hebrides+West+End/data=!4m2!3m1!1s0x4887c70c11800827:0x52a7277f7d99f31d,,
Teuchters,,https://www.google.com/maps/place/Teuchters/data=!4m2!3m1!1s0x4887c7a34ebe4e09:0x1d509b00230950b2,,
4042 | Late Night Liquor,,https://www.google.com/maps/place/4042+%7C+Late+Night+Liquor/data=!4m2!3m1!1s0x4887c7988f6601e9:0x1f679970085e1878,,
Coyote Ugly Saloon Edinburgh,Awful,https://www.google.com/maps/place/Coyote+Ugly+Saloon+Edinburgh/data=!4m2!3m1!1s0x4887c78fd80903df:0x7af6c1762c64d231,,
Brewhemia,,https://www.google.com/maps/place/Brewhemia/data=!4m2!3m1!1s0x4887c78f9ab3753f:0x34ca0c946fd19bf,,
Brass Monkey Drummond Street,#134,https://www.google.com/maps/place/Brass+Monkey+Drummond+Street/data=!4m2!3m1!1s0x4887c78431999dcb:0xe9892d714a21281d,,
The Advocate,,https://www.google.com/maps/place/The+Advocate/data=!4m2!3m1!1s0x4887c7859cc62597:0xc355fad7801ff966,,
The Sir Walter Scott - JD Wetherspoon,,https://www.google.com/maps/place/The+Sir+Walter+Scott+-+JD+Wetherspoon/data=!4m2!3m1!1s0x4887c5175034d6d7:0x29ed9916003c2211,,
Hey Palu,,https://www.google.com/maps/place/Hey+Palu/data=!4m2!3m1!1s0x4887c7a3c7c14995:0xd91f05a344d341eb,,
